views,date
311.511253,2016-09-06T00:00:00Z
298.80216,2016-09-07T00:00:00Z
296.375833,2016-09-08T00:00:00Z
281.806742,2016-09-09T00:00:00Z
293.693037,2016-09-10T00:00:00Z
295.615576,2016-09-11T00:00:00Z
299.950073,2016-09-12T00:00:00Z
304.246379,2016-09-13T00:00:00Z
300.333932,2016-09-14T00:00:00Z
306.372919,2016-09-15T00:00:00Z
282.583407,2016-09-16T00:00:00Z
283.505495,2016-09-17T00:00:00Z
294.67852799999997,2016-09-18T00:00:00Z
313.522703,2016-09-19T00:00:00Z
300.276104,2016-09-20T00:00:00Z
293.859673,2016-09-21T00:00:00Z
305.020844,2016-09-22T00:00:00Z
286.974592,2016-09-23T00:00:00Z
277.538887,2016-09-24T00:00:00Z
289.243454,2016-09-25T00:00:00Z
309.692228,2016-09-26T00:00:00Z
292.756096,2016-09-27T00:00:00Z
297.762549,2016-09-28T00:00:00Z
290.296266,2016-09-29T00:00:00Z
275.852043,2016-09-30T00:00:00Z
281.004766,2016-10-01T00:00:00Z
288.024846,2016-10-02T00:00:00Z
302.955699,2016-10-03T00:00:00Z
302.143319,2016-10-04T00:00:00Z
316.531125,2016-10-05T00:00:00Z
297.594322,2016-10-06T00:00:00Z
275.406527,2016-10-07T00:00:00Z
282.093396,2016-10-08T00:00:00Z
295.832458,2016-10-09T00:00:00Z
302.132734,2016-10-10T00:00:00Z
293.358107,2016-10-11T00:00:00Z
299.905441,2016-10-12T00:00:00Z
303.238757,2016-10-13T00:00:00Z
289.536718,2016-10-14T00:00:00Z
301.456482,2016-10-15T00:00:00Z
304.355472,2016-10-16T00:00:00Z
316.854588,2016-10-17T00:00:00Z
309.848011,2016-10-18T00:00:00Z
306.024911,2016-10-19T00:00:00Z
300.65936,2016-10-20T00:00:00Z
288.191509,2016-10-21T00:00:00Z
286.814416,2016-10-22T00:00:00Z
294.803409,2016-10-23T00:00:00Z
307.835987,2016-10-24T00:00:00Z
301.641351,2016-10-25T00:00:00Z
295.192107,2016-10-26T00:00:00Z
290.109926,2016-10-27T00:00:00Z
276.22942,2016-10-28T00:00:00Z
276.717914,2016-10-29T00:00:00Z
290.086464,2016-10-30T00:00:00Z
304.540996,2016-10-31T00:00:00Z
304.16238,2016-11-01T00:00:00Z
309.991971,2016-11-02T00:00:00Z
310.1939,2016-11-03T00:00:00Z
296.850241,2016-11-04T00:00:00Z
298.44043,2016-11-05T00:00:00Z
309.671371,2016-11-06T00:00:00Z
322.003851,2016-11-07T00:00:00Z
314.668764,2016-11-08T00:00:00Z
319.181682,2016-11-09T00:00:00Z
317.533426,2016-11-10T00:00:00Z
299.722968,2016-11-11T00:00:00Z
304.516589,2016-11-12T00:00:00Z
320.449812,2016-11-13T00:00:00Z
334.242978,2016-11-14T00:00:00Z
319.264321,2016-11-15T00:00:00Z
320.731243,2016-11-16T00:00:00Z
312.248391,2016-11-17T00:00:00Z
300.828556,2016-11-18T00:00:00Z
293.894235,2016-11-19T00:00:00Z
304.306683,2016-11-20T00:00:00Z
322.021403,2016-11-21T00:00:00Z
311.639838,2016-11-22T00:00:00Z
298.470939,2016-11-23T00:00:00Z
285.953425,2016-11-24T00:00:00Z
281.117706,2016-11-25T00:00:00Z
305.011924,2016-11-26T00:00:00Z
312.239978,2016-11-27T00:00:00Z
323.810175,2016-11-28T00:00:00Z
323.928733,2016-11-29T00:00:00Z
315.476864,2016-11-30T00:00:00Z
302.905919,2016-12-01T00:00:00Z
293.523554,2016-12-02T00:00:00Z
300.150494,2016-12-03T00:00:00Z
312.273986,2016-12-04T00:00:00Z
323.181452,2016-12-05T00:00:00Z
319.508879,2016-12-06T00:00:00Z
313.134579,2016-12-07T00:00:00Z
312.049477,2016-12-08T00:00:00Z
298.311066,2016-12-09T00:00:00Z
295.956547,2016-12-10T00:00:00Z
298.175834,2016-12-11T00:00:00Z
314.966986,2016-12-12T00:00:00Z
303.699315,2016-12-13T00:00:00Z
299.950925,2016-12-14T00:00:00Z
288.211775,2016-12-15T00:00:00Z
278.684724,2016-12-16T00:00:00Z
280.859248,2016-12-17T00:00:00Z
299.581115,2016-12-18T00:00:00Z
314.171944,2016-12-19T00:00:00Z
303.339834,2016-12-20T00:00:00Z
294.952566,2016-12-21T00:00:00Z
287.317902,2016-12-22T00:00:00Z
270.495421,2016-12-23T00:00:00Z
285.248184,2016-12-24T00:00:00Z
277.675333,2016-12-25T00:00:00Z
304.05166,2016-12-26T00:00:00Z
323.975916,2016-12-27T00:00:00Z
316.691645,2016-12-28T00:00:00Z
323.811202,2016-12-29T00:00:00Z
300.064418,2016-12-30T00:00:00Z
294.172784,2016-12-31T00:00:00Z
313.899249,2017-01-01T00:00:00Z
342.445276,2017-01-02T00:00:00Z
328.45121,2017-01-03T00:00:00Z
319.421029,2017-01-04T00:00:00Z
323.265393,2017-01-05T00:00:00Z
309.547092,2017-01-06T00:00:00Z
322.272812,2017-01-07T00:00:00Z
